,Dow,Tod,SpeedLike
1201,0.0,8442,0
1202,0.0,9642,0
1203,0.0,10843,2
1204,0.0,12043,1
1205,0.0,13243,0
1206,0.0,14444,0
1207,0.0,15644,1
1208,0.0,16844,0
1209,0.0,18045,2
1210,0.0,19245,1
1211,0.0,20445,1
1212,0.0,21645,1
1213,0.0,22846,1
1214,0.0,24046,1
1215,0.0,25246,1
1216,0.0,26446,3
1217,0.0,27647,2
1218,0.0,28847,2
1219,0.0,30047,0
1220,0.0,31248,0
1221,0.0,32448,0
1222,0.0,33648,2
1223,0.0,34849,1
1224,0.0,36049,1
1225,0.0,37249,0
1226,0.0,38450,0
1227,0.0,39650,1
1228,0.0,40850,0
1229,0.0,42051,0
1230,0.0,43251,0
1231,0.0,44452,0
1232,0.0,45652,0
1233,0.0,46852,1
1234,0.0,48053,0
1235,0.0,49253,0
1236,0.0,50453,2
1237,0.0,51654,1
1238,0.0,52854,1
1239,0.0,54054,0
1240,0.0,55255,0
1241,0.0,56455,1
